track_id,track_name,artists,artist_ids,album,album_id,release_date,popularity,spotify_url
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,4q3ewBCX7sLwd24euuV69X,DeBÍ TiRAR MáS FOToS,5K79FLRUCSysQnVESLcTdb,2025-01-05,97,https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya
2XXwLdtuAcE0HSCu61ijAb,My Boy Only Breaks His Favorite Toys,Taylor Swift,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,2024-04-18,72,https://open.spotify.com/track/2XXwLdtuAcE0HSCu61ijAb
5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,Bad Bunny,4q3ewBCX7sLwd24euuV69X,DeBÍ TiRAR MáS FOToS,5K79FLRUCSysQnVESLcTdb,2025-01-05,94,https://open.spotify.com/track/5TFD2bmFKGhoCRbX61nXY5
6suRRwX61xSMfU7wJuCVdy,For Reasons Unknown,The Killers,0C0XlULifJtAgn6ZNCW2eu,Sam's Town,4o3RJndRhHxkieQzQGhmbw,2006-09-27,65,https://open.spotify.com/track/6suRRwX61xSMfU7wJuCVdy
1GQv9r0tn00ZfHTw92jAcW,CHOKE,The Warning,2SmW1lFlBJn4IfBzBZDlSh,ERROR,0el7KHRPZwYXPwXNeSNdJB,2022-06-24,59,https://open.spotify.com/track/1GQv9r0tn00ZfHTw92jAcW
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,Bad Bunny,4q3ewBCX7sLwd24euuV69X,DeBÍ TiRAR MáS FOToS,5K79FLRUCSysQnVESLcTdb,2025-01-05,96,https://open.spotify.com/track/2lTm559tuIvatlT1u0JYG2
75rl0H9T0mdXRzLBejps95,Why You? (En Vivo),Siddhartha,2aqFBHOpM9uIgBpUsdq09x,Al Aire (En Vivo),3bmgilyDXC0hoByl3PHMEw,2018-08-10,45,https://open.spotify.com/track/75rl0H9T0mdXRzLBejps95
6VNXmo59yDYgcwLS17UNAW,CAFé CON RON,"Bad Bunny, Los Pleneros de la Cresta","4q3ewBCX7sLwd24euuV69X, 1uZVxckdGGKhFMpCnupXmP",DeBÍ TiRAR MáS FOToS,5K79FLRUCSysQnVESLcTdb,2025-01-05,85,https://open.spotify.com/track/6VNXmo59yDYgcwLS17UNAW
6XaJfhwof7qIgbbXO5tIQI,Igual Que Un Ángel (with Peso Pluma),"Kali Uchis, Peso Pluma","1U1el3k54VvEUzo3ybLPlM, 12GqGscKJx3aE4t07u7eVZ",ORQUÍDEAS,5U20AVSsUvycGtWip4XQfo,2024-01-12,80,https://open.spotify.com/track/6XaJfhwof7qIgbbXO5tIQI
4IMBNHCtJWAAqEoOktyl3a,Únicos,Siddhartha,2aqFBHOpM9uIgBpUsdq09x,Únicos,2WdHl1k6TfiQ7UUT4HSsPP,2016-09-23,69,https://open.spotify.com/track/4IMBNHCtJWAAqEoOktyl3a
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,2024-05-17,91,https://open.spotify.com/track/7BRD7x5pt8Lqa1eGYC4dzj
2bPGTMB5sFfFYQ2YvSmup0,Deutschland,Rammstein,6wWVKhxIU2cEi0K81v7HvP,Rammstein,1LoyJQVHPLHE3fCCS8Juek,2019-05-17,79,https://open.spotify.com/track/2bPGTMB5sFfFYQ2YvSmup0
1fzAuUVbzlhZ1lJAx9PtY6,Daylight,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,1NAmidJlEaVgA3MpcPFYGq,2019-08-23,83,https://open.spotify.com/track/1fzAuUVbzlhZ1lJAx9PtY6
3Vevii7qKqrmW8CcyzBHDl,"So Long, London",Taylor Swift,06HL4z0CvFAxyc27GXpf02,THE TORTURED POETS DEPARTMENT,1Mo4aZ8pdj6L1jx8zSwJnt,2024-04-18,72,https://open.spotify.com/track/3Vevii7qKqrmW8CcyzBHDl
